,Trafo_id,Date_Time,Active_Energy
2407,121990,2019-11-20 17:00:00,883.0
472,100469,2019-11-20 18:00:00,738.6
957,100528,2019-11-20 19:00:00,923.4
958,100528,2019-11-20 20:00:00,876.0
2411,121990,2019-11-20 21:00:00,523.0
1444,121695,2019-11-20 22:00:00,764.0
1928,121970,2019-11-20 23:00:00,757.6
962,100528,2019-11-21 00:00:00,477.6
1930,121970,2019-11-21 01:00:00,759.2
1931,121970,2019-11-21 02:00:00,720.8
965,100528,2019-11-21 03:00:00,356.4
1933,121970,2019-11-21 04:00:00,363.2
